Provincia,Población
Álava,333940
Albacete,386464
Alicante,1858683
Almería,727945
Asturias,1004686
Ávila,157664
Badajoz,671008
Baleares,1210725
Barcelona,5743402
Burgos,356055
Cáceres,392472
Cádiz,1263749
Cantabria,582905
Castellón,584573
Ceuta,84202
Ciudad Real,492591
Córdoba,781451
Cuenca,196329
Girona,784822
Granada,921338
Guadalajara,265588
Guipúzcoa,727121
Huelva,529864
Huesca,223988
Jaén,623989
La Rioja,319414
Las Palmas,1129395
León,453604
Lleida,439253
Lugo,327946
Madrid,6642226
Málaga,1725645
Melilla,87076
Murcia,1527591
Navarra,661197
Ourense,305223
Palencia,158699
Pontevedra,950919
Salamanca,329245
Santa Cruz de Tenerife,1072292
Segovia,153129
Sevilla,1957456
Soria,88884
Tarragona,832021
Teruel,134137
Toledo,714479
Valencia,2579777
Valladolid,518057
Vizcaya,1149008
Zamora,170588
Zaragoza,968313
